id_hotel,id_ciudad,direccion,telefono,precio
10,2,"518 Hall Dam New Jesse, NM 01087",233-347-518,30
13,3,"833 Flores Key Suite 707 South Elizabethchester, IA 08393",799-491-215,50
20,9,"1281 Robert Mountain Schneidermouth, HI 23898",698-634-912,70
15,5,"8927 Hurst Harbor Apt. 156 Timothyfort, CA 72308",485-531-155,55
3,1,"7802 Scott Garden Apt. 827 Jerryport, WI 13545",647-252-126,30
9,2,"65223 Valdez Viaduct Lake Seanview, WY 97324",214-454-587,23
18,7,"PSC 3268, Box 6667 APO AE 63637",241-126-819,20
2,1,"8183 Michael Glen Apt. 437 Petersonland, VA 66579",771-764-467,43
16,6,"37962 Sanders Circles Apt. 357 Port Timothy, TN 24656",315-196-562,30
7,2,"511 Karen Neck Terriborough, WV 55292",321-718-523,28
1,1,"PSC 1716, Box 5186 APO AP 18920",294-527-692,35
19,8,"703 Garcia Drive Suite 239 West Carolside, NV 09666",633-564-612,35
17,6,Unit 6357 Box 9808 DPO AA 45781,282-833-326,38
21,10,"71677 Theresa Fields Chadchester, TN 58947",527-989-688,21
12,3,"PSC 4851, Box 9887 APO AP 86712",717-744-934,70
14,4,"9381 Melissa Walks Apt. 623 Port Barbarafurt, MI 38305",441-127-177,50
5,1,"47081 Rosales Islands Suite 864 Port Sydney, UT 33108",998-171-811,18
4,1,Unit 5444 Box 3960 DPO AE 23180,738-387-267,22
8,2,"8300 Kemp Gateway Suite 979 Blackhaven, WV 71663",745-819-474,25
6,1,"75237 Ross Radial Ashleeburgh, GA 15492",734-544-857,20
11,3,"0943 Harmon Ways Collinsburgh, ME 20733",692-622-914,60
